,teacher_inst,teacher_id,learner_inst,workerid,rf,color,safe_dangerous,confidence,true_value,correct,correct_confidence,incorrect_confidence,n_safe_colors,safe,match_inst
0,showing,s_50,showing,L_0,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing
1,doing,s_29,showing,L_1,ooo,blue,dangerous,52,safe,False,,52.0,3,False,doing-showing
2,doing,s_10,showing,L_2,xoo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
3,doing,s_8,doing,L_3,xox,blue,dangerous,86,dangerous,True,86.0,,1,False,doing-doing
4,showing,s_23,doing,L_4,xxx,blue,dangerous,100,dangerous,True,100.0,,0,False,showing-doing
5,showing,s_50,showing,L_5,xox,blue,dangerous,90,dangerous,True,90.0,,1,False,showing-showing
6,showing,s_18,doing,L_6,xoo,blue,safe,63,safe,True,63.0,,2,True,showing-doing
7,doing,s_56,doing,L_7,oxo,blue,safe,42,safe,True,42.0,,2,True,doing-doing
8,doing,s_34,doing,L_8,ooo,blue,safe,67,safe,True,67.0,,3,True,doing-doing
9,showing,s_18,showing,L_9,oxx,blue,dangerous,41,dangerous,True,41.0,,1,False,showing-showing
10,doing,s_11,showing,L_10,oxx,blue,dangerous,30,dangerous,True,30.0,,1,False,doing-showing
11,doing,s_5,showing,L_11,xxx,blue,safe,59,dangerous,False,,59.0,0,True,doing-showing
12,doing,s_11,showing,L_12,xxo,blue,safe,100,safe,True,100.0,,1,True,doing-showing
13,showing,s_28,doing,L_13,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing
14,showing,s_7,showing,L_14,xxo,blue,safe,100,safe,True,100.0,,1,True,showing-showing
15,showing,s_0,showing,L_15,xox,blue,dangerous,76,dangerous,True,76.0,,1,False,showing-showing
16,doing,s_1,showing,L_16,oox,blue,dangerous,100,dangerous,True,100.0,,2,False,doing-showing
17,showing,s_55,showing,L_17,oxx,blue,safe,51,dangerous,False,,51.0,1,True,showing-showing
18,doing,s_11,doing,L_18,xxx,blue,dangerous,99,dangerous,True,99.0,,0,False,doing-doing
19,showing,s_20,doing,L_19,oxx,blue,dangerous,71,dangerous,True,71.0,,1,False,showing-doing
20,doing,s_48,showing,L_20,oxo,blue,dangerous,19,safe,False,,19.0,2,False,doing-showing
21,showing,s_23,showing,L_21,oxo,blue,safe,100,safe,True,100.0,,2,True,showing-showing
22,showing,s_51,showing,L_22,xox,blue,dangerous,86,dangerous,True,86.0,,1,False,showing-showing
23,doing,s_40,doing,L_23,oox,blue,dangerous,32,dangerous,True,32.0,,2,False,doing-doing
24,showing,s_7,showing,L_24,oxo,blue,safe,49,safe,True,49.0,,2,True,showing-showing
25,doing,s_15,showing,L_25,oox,blue,dangerous,39,dangerous,True,39.0,,2,False,doing-showing
26,doing,s_56,doing,L_26,ooo,blue,safe,85,safe,True,85.0,,3,True,doing-doing
27,showing,s_35,showing,L_27,oxo,blue,safe,50,safe,True,50.0,,2,True,showing-showing
28,doing,s_30,showing,L_28,oxx,blue,dangerous,85,dangerous,True,85.0,,1,False,doing-showing
29,doing,s_8,doing,L_29,xxx,blue,safe,76,dangerous,False,,76.0,0,True,doing-doing
30,showing,s_26,doing,L_30,xxx,blue,safe,100,dangerous,False,,100.0,0,True,showing-doing
31,showing,s_24,doing,L_31,oox,blue,dangerous,97,dangerous,True,97.0,,2,False,showing-doing
32,showing,s_7,showing,L_32,oxx,blue,dangerous,50,dangerous,True,50.0,,1,False,showing-showing
33,showing,s_4,doing,L_33,ooo,blue,safe,100,safe,True,100.0,,3,True,showing-doing
34,showing,s_51,showing,L_34,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing
35,doing,s_47,showing,L_35,oxo,blue,safe,80,safe,True,80.0,,2,True,doing-showing
36,doing,s_3,showing,L_36,oox,blue,dangerous,80,dangerous,True,80.0,,2,False,doing-showing
37,showing,s_16,doing,L_37,ooo,blue,safe,66,safe,True,66.0,,3,True,showing-doing
38,showing,s_55,doing,L_38,ooo,blue,safe,43,safe,True,43.0,,3,True,showing-doing
39,doing,s_52,showing,L_39,xoo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
40,doing,s_29,showing,L_40,xxx,blue,safe,78,dangerous,False,,78.0,0,True,doing-showing
41,doing,s_48,showing,L_41,xox,blue,safe,43,dangerous,False,,43.0,1,True,doing-showing
42,showing,s_39,doing,L_42,xoo,blue,safe,58,safe,True,58.0,,2,True,showing-doing
43,doing,s_29,showing,L_43,xoo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
44,showing,s_17,doing,L_44,ooo,blue,dangerous,38,safe,False,,38.0,3,False,showing-doing
45,doing,s_9,doing,L_45,xoo,blue,safe,72,safe,True,72.0,,2,True,doing-doing
46,doing,s_29,doing,L_46,xoo,blue,safe,100,safe,True,100.0,,2,True,doing-doing
47,doing,s_48,showing,L_47,oox,blue,dangerous,24,dangerous,True,24.0,,2,False,doing-showing
48,showing,s_39,doing,L_48,xxx,blue,safe,100,dangerous,False,,100.0,0,True,showing-doing
49,showing,s_4,doing,L_49,xxo,blue,safe,100,safe,True,100.0,,1,True,showing-doing
50,showing,s_53,doing,L_50,xxo,blue,safe,100,safe,True,100.0,,1,True,showing-doing
51,doing,s_15,showing,L_51,oxx,blue,dangerous,73,dangerous,True,73.0,,1,False,doing-showing
52,doing,s_29,showing,L_52,xox,blue,safe,100,dangerous,False,,100.0,1,True,doing-showing
53,doing,s_38,showing,L_53,xoo,blue,dangerous,100,safe,False,,100.0,2,False,doing-showing
54,doing,s_14,doing,L_54,xxx,blue,safe,100,dangerous,False,,100.0,0,True,doing-doing
55,showing,s_6,showing,L_55,oxx,blue,dangerous,100,dangerous,True,100.0,,1,False,showing-showing
56,doing,s_10,doing,L_56,xoo,blue,safe,70,safe,True,70.0,,2,True,doing-doing
57,showing,s_20,doing,L_57,xxx,blue,safe,100,dangerous,False,,100.0,0,True,showing-doing
58,showing,s_20,showing,L_58,xxx,blue,safe,87,dangerous,False,,87.0,0,True,showing-showing
59,doing,s_44,showing,L_59,oxx,blue,dangerous,51,dangerous,True,51.0,,1,False,doing-showing
60,showing,s_12,doing,L_60,oxx,blue,dangerous,0,dangerous,True,0.0,,1,False,showing-doing
61,doing,s_27,doing,L_61,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-doing
62,doing,s_54,showing,L_62,xxx,blue,safe,40,dangerous,False,,40.0,0,True,doing-showing
63,showing,s_46,showing,L_63,ooo,blue,safe,100,safe,True,100.0,,3,True,showing-showing
64,showing,s_7,doing,L_64,ooo,blue,safe,100,safe,True,100.0,,3,True,showing-doing
65,showing,s_24,doing,L_65,xxx,blue,safe,73,dangerous,False,,73.0,0,True,showing-doing
66,doing,s_44,showing,L_66,xxx,blue,safe,42,dangerous,False,,42.0,0,True,doing-showing
67,doing,s_33,showing,L_67,ooo,blue,safe,70,safe,True,70.0,,3,True,doing-showing
68,showing,s_0,doing,L_68,xox,blue,dangerous,59,dangerous,True,59.0,,1,False,showing-doing
69,doing,s_34,showing,L_69,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
70,doing,s_54,doing,L_70,oxo,blue,safe,98,safe,True,98.0,,2,True,doing-doing
71,doing,s_9,doing,L_71,oxx,blue,dangerous,73,dangerous,True,73.0,,1,False,doing-doing
72,doing,s_8,doing,L_72,ooo,blue,dangerous,97,safe,False,,97.0,3,False,doing-doing
73,showing,s_31,showing,L_73,ooo,blue,safe,68,safe,True,68.0,,3,True,showing-showing
74,showing,s_21,showing,L_74,xxo,blue,safe,100,safe,True,100.0,,1,True,showing-showing
75,doing,s_36,doing,L_75,oxx,blue,dangerous,90,dangerous,True,90.0,,1,False,doing-doing
76,doing,s_9,doing,L_76,ooo,blue,dangerous,15,safe,False,,15.0,3,False,doing-doing
77,doing,s_11,doing,L_77,ooo,blue,safe,69,safe,True,69.0,,3,True,doing-doing
78,doing,s_11,showing,L_78,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
79,showing,s_51,doing,L_79,oox,blue,dangerous,100,dangerous,True,100.0,,2,False,showing-doing
80,doing,s_56,showing,L_80,xxo,blue,dangerous,60,safe,False,,60.0,1,False,doing-showing
81,doing,s_40,showing,L_81,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
82,showing,s_24,showing,L_82,xxx,blue,safe,79,dangerous,False,,79.0,0,True,showing-showing
83,doing,s_27,doing,L_83,xxo,blue,safe,100,safe,True,100.0,,1,True,doing-doing
84,showing,s_49,doing,L_84,ooo,blue,dangerous,73,safe,False,,73.0,3,False,showing-doing
85,doing,s_47,showing,L_85,xxo,blue,dangerous,66,safe,False,,66.0,1,False,doing-showing
86,showing,s_19,showing,L_86,oxo,blue,safe,100,safe,True,100.0,,2,True,showing-showing
87,showing,s_12,showing,L_87,oox,blue,dangerous,96,dangerous,True,96.0,,2,False,showing-showing
88,showing,s_20,doing,L_88,ooo,blue,safe,72,safe,True,72.0,,3,True,showing-doing
89,doing,s_44,showing,L_89,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
90,doing,s_40,showing,L_90,xxx,blue,dangerous,70,dangerous,True,70.0,,0,False,doing-showing
91,doing,s_57,showing,L_91,ooo,blue,safe,87,safe,True,87.0,,3,True,doing-showing
92,doing,s_37,doing,L_92,xxo,blue,safe,92,safe,True,92.0,,1,True,doing-doing
93,doing,s_54,doing,L_93,xxx,blue,dangerous,44,dangerous,True,44.0,,0,False,doing-doing
94,doing,s_8,doing,L_94,ooo,blue,dangerous,20,safe,False,,20.0,3,False,doing-doing
95,doing,s_9,showing,L_95,oxo,blue,dangerous,25,safe,False,,25.0,2,False,doing-showing
96,showing,s_26,showing,L_96,oxx,blue,dangerous,16,dangerous,True,16.0,,1,False,showing-showing
97,showing,s_51,doing,L_97,xox,blue,dangerous,100,dangerous,True,100.0,,1,False,showing-doing
98,doing,s_40,doing,L_98,xox,blue,safe,88,dangerous,False,,88.0,1,True,doing-doing
99,doing,s_38,showing,L_99,ooo,blue,safe,80,safe,True,80.0,,3,True,doing-showing
100,doing,s_44,doing,L_100,xxx,blue,safe,100,dangerous,False,,100.0,0,True,doing-doing
101,showing,s_43,showing,L_101,xxo,blue,safe,100,safe,True,100.0,,1,True,showing-showing
102,showing,s_45,doing,L_102,xxo,blue,safe,98,safe,True,98.0,,1,True,showing-doing
103,showing,s_49,doing,L_103,oox,blue,safe,100,dangerous,False,,100.0,2,True,showing-doing
104,doing,s_30,doing,L_104,oox,blue,dangerous,79,dangerous,True,79.0,,2,False,doing-doing
105,doing,s_5,showing,L_105,oox,blue,dangerous,87,dangerous,True,87.0,,2,False,doing-showing
106,showing,s_45,doing,L_106,oxx,blue,dangerous,100,dangerous,True,100.0,,1,False,showing-doing
107,showing,s_2,doing,L_107,oxx,blue,dangerous,100,dangerous,True,100.0,,1,False,showing-doing
108,doing,s_41,showing,L_108,xxo,blue,safe,26,safe,True,26.0,,1,True,doing-showing
109,showing,s_13,showing,L_109,oxo,blue,safe,88,safe,True,88.0,,2,True,showing-showing
110,showing,s_7,showing,L_110,xxx,blue,safe,98,dangerous,False,,98.0,0,True,showing-showing
111,doing,s_15,doing,L_111,ooo,blue,dangerous,40,safe,False,,40.0,3,False,doing-doing
112,doing,s_11,showing,L_112,oox,blue,dangerous,100,dangerous,True,100.0,,2,False,doing-showing
113,showing,s_6,showing,L_113,xoo,blue,safe,90,safe,True,90.0,,2,True,showing-showing
114,doing,s_1,showing,L_114,xxo,blue,safe,100,safe,True,100.0,,1,True,doing-showing
115,doing,s_11,showing,L_115,oxx,blue,dangerous,0,dangerous,True,0.0,,1,False,doing-showing
116,showing,s_17,doing,L_116,xxo,blue,safe,100,safe,True,100.0,,1,True,showing-doing
117,doing,s_14,showing,L_117,xox,blue,safe,64,dangerous,False,,64.0,1,True,doing-showing
118,doing,s_48,showing,L_118,xox,blue,safe,100,dangerous,False,,100.0,1,True,doing-showing
119,showing,s_12,doing,L_119,xxx,blue,safe,91,dangerous,False,,91.0,0,True,showing-doing
120,doing,s_10,showing,L_120,xxx,blue,safe,80,dangerous,False,,80.0,0,True,doing-showing
121,showing,s_28,showing,L_121,xxx,blue,safe,77,dangerous,False,,77.0,0,True,showing-showing
122,showing,s_19,doing,L_122,oxo,blue,safe,56,safe,True,56.0,,2,True,showing-doing
123,doing,s_42,doing,L_123,xxo,blue,safe,100,safe,True,100.0,,1,True,doing-doing
124,showing,s_26,doing,L_124,oxo,blue,safe,21,safe,True,21.0,,2,True,showing-doing
125,showing,s_31,showing,L_125,oxx,blue,dangerous,80,dangerous,True,80.0,,1,False,showing-showing
126,showing,s_25,doing,L_126,oxx,blue,dangerous,59,dangerous,True,59.0,,1,False,showing-doing
127,showing,s_20,showing,L_127,xxx,blue,dangerous,67,dangerous,True,67.0,,0,False,showing-showing
128,doing,s_47,doing,L_128,xoo,blue,safe,100,safe,True,100.0,,2,True,doing-doing
129,showing,s_31,showing,L_129,oox,blue,dangerous,100,dangerous,True,100.0,,2,False,showing-showing
130,showing,s_23,doing,L_130,oxo,blue,safe,100,safe,True,100.0,,2,True,showing-doing
131,doing,s_42,doing,L_131,xoo,blue,safe,100,safe,True,100.0,,2,True,doing-doing
132,doing,s_3,showing,L_132,xox,blue,dangerous,38,dangerous,True,38.0,,1,False,doing-showing
133,doing,s_38,showing,L_133,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
134,doing,s_30,doing,L_134,xoo,blue,safe,100,safe,True,100.0,,2,True,doing-doing
135,doing,s_22,doing,L_135,oxx,blue,dangerous,60,dangerous,True,60.0,,1,False,doing-doing
136,showing,s_31,doing,L_136,xxo,blue,safe,84,safe,True,84.0,,1,True,showing-doing
137,doing,s_10,doing,L_137,xxo,blue,safe,100,safe,True,100.0,,1,True,doing-doing
138,doing,s_1,doing,L_138,xoo,blue,safe,100,safe,True,100.0,,2,True,doing-doing
139,doing,s_34,showing,L_139,oox,blue,dangerous,98,dangerous,True,98.0,,2,False,doing-showing
140,showing,s_49,doing,L_140,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing
141,showing,s_45,showing,L_141,oox,blue,dangerous,85,dangerous,True,85.0,,2,False,showing-showing
142,showing,s_6,doing,L_142,xxx,blue,safe,73,dangerous,False,,73.0,0,True,showing-doing
143,doing,s_22,showing,L_143,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
144,showing,s_31,showing,L_144,xox,blue,dangerous,44,dangerous,True,44.0,,1,False,showing-showing
145,showing,s_46,doing,L_145,ooo,blue,safe,78,safe,True,78.0,,3,True,showing-doing
146,doing,s_44,showing,L_146,ooo,blue,safe,100,safe,True,100.0,,3,True,doing-showing
147,doing,s_47,showing,L_147,xxx,blue,safe,44,dangerous,False,,44.0,0,True,doing-showing
148,showing,s_17,doing,L_148,oxo,blue,safe,100,safe,True,100.0,,2,True,showing-doing
149,showing,s_6,showing,L_149,oox,blue,dangerous,51,dangerous,True,51.0,,2,False,showing-showing
150,doing,s_40,doing,L_150,xoo,blue,safe,100,safe,True,100.0,,2,True,doing-doing
151,doing,s_8,doing,L_151,xox,blue,dangerous,100,dangerous,True,100.0,,1,False,doing-doing
152,showing,s_12,showing,L_152,xxx,blue,safe,88,dangerous,False,,88.0,0,True,showing-showing
153,showing,s_0,showing,L_153,oxx,blue,dangerous,0,dangerous,True,0.0,,1,False,showing-showing
154,showing,s_16,showing,L_154,oox,blue,dangerous,80,dangerous,True,80.0,,2,False,showing-showing
155,showing,s_7,doing,L_155,xoo,blue,safe,75,safe,True,75.0,,2,True,showing-doing
156,showing,s_55,doing,L_156,xxx,blue,safe,79,dangerous,False,,79.0,0,True,showing-doing
157,doing,s_15,showing,L_157,ooo,blue,safe,100,safe,True,100.0,,3,True,doing-showing
158,doing,s_41,showing,L_158,ooo,blue,safe,100,safe,True,100.0,,3,True,doing-showing
159,doing,s_38,doing,L_159,xoo,blue,dangerous,49,safe,False,,49.0,2,False,doing-doing
160,doing,s_42,showing,L_160,oox,blue,dangerous,50,dangerous,True,50.0,,2,False,doing-showing
161,doing,s_29,showing,L_161,xxx,blue,safe,100,dangerous,False,,100.0,0,True,doing-showing
162,doing,s_37,doing,L_162,xoo,blue,safe,99,safe,True,99.0,,2,True,doing-doing
163,showing,s_43,showing,L_163,xxx,blue,safe,69,dangerous,False,,69.0,0,True,showing-showing
164,showing,s_45,doing,L_164,xxo,blue,safe,100,safe,True,100.0,,1,True,showing-doing
165,doing,s_33,showing,L_165,xoo,blue,safe,99,safe,True,99.0,,2,True,doing-showing
166,doing,s_15,showing,L_166,xoo,blue,safe,98,safe,True,98.0,,2,True,doing-showing
167,doing,s_14,doing,L_167,oxo,blue,safe,77,safe,True,77.0,,2,True,doing-doing
168,showing,s_0,doing,L_168,oox,blue,dangerous,65,dangerous,True,65.0,,2,False,showing-doing
169,doing,s_38,showing,L_169,oxx,blue,safe,100,dangerous,False,,100.0,1,True,doing-showing
170,showing,s_16,showing,L_170,xxx,blue,dangerous,76,dangerous,True,76.0,,0,False,showing-showing
171,showing,s_39,showing,L_171,xxo,blue,safe,100,safe,True,100.0,,1,True,showing-showing
172,showing,s_13,showing,L_172,ooo,blue,safe,67,safe,True,67.0,,3,True,showing-showing
173,showing,s_25,showing,L_173,oox,blue,dangerous,43,dangerous,True,43.0,,2,False,showing-showing
174,doing,s_30,showing,L_174,xxx,blue,safe,78,dangerous,False,,78.0,0,True,doing-showing
175,doing,s_10,doing,L_175,oox,blue,dangerous,58,dangerous,True,58.0,,2,False,doing-doing
176,doing,s_57,doing,L_176,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-doing
177,doing,s_34,doing,L_177,xoo,blue,safe,61,safe,True,61.0,,2,True,doing-doing
178,doing,s_11,doing,L_178,oxx,blue,dangerous,49,dangerous,True,49.0,,1,False,doing-doing
179,doing,s_5,showing,L_179,oxx,blue,dangerous,80,dangerous,True,80.0,,1,False,doing-showing
180,doing,s_14,doing,L_180,oox,blue,dangerous,95,dangerous,True,95.0,,2,False,doing-doing
181,showing,s_17,showing,L_181,oxo,blue,safe,100,safe,True,100.0,,2,True,showing-showing
182,doing,s_36,doing,L_182,oox,blue,safe,100,dangerous,False,,100.0,2,True,doing-doing
183,showing,s_19,showing,L_183,xxx,blue,safe,100,dangerous,False,,100.0,0,True,showing-showing
184,doing,s_33,doing,L_184,oxo,blue,dangerous,43,safe,False,,43.0,2,False,doing-doing
185,doing,s_29,showing,L_185,ooo,blue,dangerous,28,safe,False,,28.0,3,False,doing-showing
186,doing,s_57,showing,L_186,xxo,blue,safe,100,safe,True,100.0,,1,True,doing-showing
187,showing,s_53,showing,L_187,xxx,blue,safe,50,dangerous,False,,50.0,0,True,showing-showing
