,observer_cond,demonstrator_cond,teacher_id,trialnum,grid,tf,response,confidence,video_plays,correct,correct_confidence,incorrect_confidence,learner_id
0,show,show,GKX6rozI,0,WSN,S,S,21,1,True,21.0,,fYHYGTVaOZWIFau
1,show,show,GKX6rozI,1,WSN,W,S,35,1,False,,35.0,fYHYGTVaOZWIFau
2,show,show,GKX6rozI,10,SNS,S,W,25,1,False,,25.0,fYHYGTVaOZWIFau
3,show,show,GKX6rozI,11,SNS,W,W,30,2,True,30.0,,fYHYGTVaOZWIFau
4,show,show,GKX6rozI,12,NWS,S,W,35,1,False,,35.0,fYHYGTVaOZWIFau
5,show,show,GKX6rozI,13,SNW,W,W,30,1,True,30.0,,fYHYGTVaOZWIFau
6,show,show,GKX6rozI,14,SWN,S,W,32,1,False,,32.0,fYHYGTVaOZWIFau
7,show,show,GKX6rozI,15,NWS,W,W,27,1,True,27.0,,fYHYGTVaOZWIFau
8,show,show,GKX6rozI,2,WNS,S,S,43,1,True,43.0,,fYHYGTVaOZWIFau
9,show,show,GKX6rozI,3,WNW,W,S,35,1,False,,35.0,fYHYGTVaOZWIFau
10,show,show,GKX6rozI,4,NSW,S,S,39,1,True,39.0,,fYHYGTVaOZWIFau
11,show,show,GKX6rozI,5,WNS,W,W,30,1,True,30.0,,fYHYGTVaOZWIFau
12,show,show,GKX6rozI,6,SNW,S,S,33,1,True,33.0,,fYHYGTVaOZWIFau
13,show,show,GKX6rozI,7,WNW,S,W,26,1,False,,26.0,fYHYGTVaOZWIFau
14,show,show,GKX6rozI,8,SWN,W,W,25,1,True,25.0,,fYHYGTVaOZWIFau
15,show,show,GKX6rozI,9,NSW,W,W,42,1,True,42.0,,fYHYGTVaOZWIFau
16,do,show,GKX6rozI,0,WSN,S,S,100,2,True,100.0,,uAwfxQAeKSQxRKe
17,do,show,GKX6rozI,1,WSN,W,S,100,1,False,,100.0,uAwfxQAeKSQxRKe
18,do,show,GKX6rozI,10,SNS,S,W,100,1,False,,100.0,uAwfxQAeKSQxRKe
19,do,show,GKX6rozI,11,SNS,W,S,100,1,False,,100.0,uAwfxQAeKSQxRKe
20,do,show,GKX6rozI,12,NWS,S,S,100,1,True,100.0,,uAwfxQAeKSQxRKe
21,do,show,GKX6rozI,13,SNW,W,S,100,1,False,,100.0,uAwfxQAeKSQxRKe
22,do,show,GKX6rozI,14,SWN,S,W,100,1,False,,100.0,uAwfxQAeKSQxRKe
23,do,show,GKX6rozI,15,NWS,W,S,100,1,False,,100.0,uAwfxQAeKSQxRKe
24,do,show,GKX6rozI,2,WNS,S,S,100,1,True,100.0,,uAwfxQAeKSQxRKe
25,do,show,GKX6rozI,3,WNW,W,W,100,1,True,100.0,,uAwfxQAeKSQxRKe
26,do,show,GKX6rozI,4,NSW,S,W,100,1,False,,100.0,uAwfxQAeKSQxRKe
27,do,show,GKX6rozI,5,WNS,W,W,100,1,True,100.0,,uAwfxQAeKSQxRKe
28,do,show,GKX6rozI,6,SNW,S,S,77,1,True,77.0,,uAwfxQAeKSQxRKe
29,do,show,GKX6rozI,7,WNW,S,W,100,1,False,,100.0,uAwfxQAeKSQxRKe
30,do,show,GKX6rozI,8,SWN,W,W,100,1,True,100.0,,uAwfxQAeKSQxRKe
31,do,show,GKX6rozI,9,NSW,W,S,100,1,False,,100.0,uAwfxQAeKSQxRKe
32,show,show,GKX6rozI,0,WSN,S,S,91,1,True,91.0,,MnbATbYhxaJyiBR
33,show,show,GKX6rozI,1,WSN,W,S,83,1,False,,83.0,MnbATbYhxaJyiBR
34,show,show,GKX6rozI,10,SNS,S,W,88,1,False,,88.0,MnbATbYhxaJyiBR
35,show,show,GKX6rozI,11,SNS,W,W,77,2,True,77.0,,MnbATbYhxaJyiBR
36,show,show,GKX6rozI,12,NWS,S,W,87,1,False,,87.0,MnbATbYhxaJyiBR
37,show,show,GKX6rozI,13,SNW,W,W,61,1,True,61.0,,MnbATbYhxaJyiBR
38,show,show,GKX6rozI,14,SWN,S,S,65,1,True,65.0,,MnbATbYhxaJyiBR
39,show,show,GKX6rozI,15,NWS,W,W,78,1,True,78.0,,MnbATbYhxaJyiBR
40,show,show,GKX6rozI,2,WNS,S,S,88,1,True,88.0,,MnbATbYhxaJyiBR
41,show,show,GKX6rozI,3,WNW,W,S,88,1,False,,88.0,MnbATbYhxaJyiBR
42,show,show,GKX6rozI,4,NSW,S,S,86,1,True,86.0,,MnbATbYhxaJyiBR
43,show,show,GKX6rozI,5,WNS,W,W,91,1,True,91.0,,MnbATbYhxaJyiBR
44,show,show,GKX6rozI,6,SNW,S,S,86,1,True,86.0,,MnbATbYhxaJyiBR
45,show,show,GKX6rozI,7,WNW,S,S,57,1,True,57.0,,MnbATbYhxaJyiBR
46,show,show,GKX6rozI,8,SWN,W,S,75,1,False,,75.0,MnbATbYhxaJyiBR
47,show,show,GKX6rozI,9,NSW,W,W,74,1,True,74.0,,MnbATbYhxaJyiBR
48,do,show,GKX6rozI,0,WSN,S,S,78,1,True,78.0,,CmFrQijkfkjDrnU
49,do,show,GKX6rozI,1,WSN,W,W,68,1,True,68.0,,CmFrQijkfkjDrnU
50,do,show,GKX6rozI,10,SNS,S,W,77,1,False,,77.0,CmFrQijkfkjDrnU
51,do,show,GKX6rozI,11,SNS,W,W,65,1,True,65.0,,CmFrQijkfkjDrnU
52,do,show,GKX6rozI,12,NWS,S,W,75,1,False,,75.0,CmFrQijkfkjDrnU
53,do,show,GKX6rozI,13,SNW,W,W,51,2,True,51.0,,CmFrQijkfkjDrnU
54,do,show,GKX6rozI,14,SWN,S,W,23,2,False,,23.0,CmFrQijkfkjDrnU
55,do,show,GKX6rozI,15,NWS,W,W,76,1,True,76.0,,CmFrQijkfkjDrnU
56,do,show,GKX6rozI,2,WNS,S,S,73,1,True,73.0,,CmFrQijkfkjDrnU
57,do,show,GKX6rozI,3,WNW,W,W,33,1,True,33.0,,CmFrQijkfkjDrnU
58,do,show,GKX6rozI,4,NSW,S,S,83,1,True,83.0,,CmFrQijkfkjDrnU
59,do,show,GKX6rozI,5,WNS,W,W,68,2,True,68.0,,CmFrQijkfkjDrnU
60,do,show,GKX6rozI,6,SNW,S,S,77,2,True,77.0,,CmFrQijkfkjDrnU
61,do,show,GKX6rozI,7,WNW,S,S,79,6,True,79.0,,CmFrQijkfkjDrnU
62,do,show,GKX6rozI,8,SWN,W,W,20,2,True,20.0,,CmFrQijkfkjDrnU
63,do,show,GKX6rozI,9,NSW,W,W,87,1,True,87.0,,CmFrQijkfkjDrnU
64,show,show,cFx0crqu,0,NWS,W,W,100,1,True,100.0,,DEExieXZdyywNfM
65,show,show,cFx0crqu,1,SWN,S,S,100,1,True,100.0,,DEExieXZdyywNfM
66,show,show,cFx0crqu,10,WNS,W,S,49,2,False,,49.0,DEExieXZdyywNfM
67,show,show,cFx0crqu,11,NSW,S,S,62,1,True,62.0,,DEExieXZdyywNfM
68,show,show,cFx0crqu,12,WNW,W,W,63,1,True,63.0,,DEExieXZdyywNfM
69,show,show,cFx0crqu,13,WNS,S,S,61,2,True,61.0,,DEExieXZdyywNfM
70,show,show,cFx0crqu,14,WSN,W,W,71,2,True,71.0,,DEExieXZdyywNfM
71,show,show,cFx0crqu,15,WSN,S,S,68,1,True,68.0,,DEExieXZdyywNfM
72,show,show,cFx0crqu,2,SNW,W,W,91,1,True,91.0,,DEExieXZdyywNfM
73,show,show,cFx0crqu,3,NWS,S,W,75,1,False,,75.0,DEExieXZdyywNfM
74,show,show,cFx0crqu,4,SNS,W,W,77,2,True,77.0,,DEExieXZdyywNfM
75,show,show,cFx0crqu,5,SNS,S,S,59,1,True,59.0,,DEExieXZdyywNfM
76,show,show,cFx0crqu,6,NSW,W,W,63,1,True,63.0,,DEExieXZdyywNfM
77,show,show,cFx0crqu,7,SWN,W,S,88,1,False,,88.0,DEExieXZdyywNfM
78,show,show,cFx0crqu,8,WNW,S,S,76,1,True,76.0,,DEExieXZdyywNfM
79,show,show,cFx0crqu,9,SNW,S,S,66,1,True,66.0,,DEExieXZdyywNfM
80,show,show,cFx0crqu,0,NWS,W,W,67,3,True,67.0,,VgJcxZFvkDMCtfP
81,show,show,cFx0crqu,1,SWN,S,S,89,2,True,89.0,,VgJcxZFvkDMCtfP
82,show,show,cFx0crqu,10,WNS,W,W,77,1,True,77.0,,VgJcxZFvkDMCtfP
83,show,show,cFx0crqu,11,NSW,S,S,82,1,True,82.0,,VgJcxZFvkDMCtfP
84,show,show,cFx0crqu,12,WNW,W,S,91,1,False,,91.0,VgJcxZFvkDMCtfP
85,show,show,cFx0crqu,13,WNS,S,S,86,1,True,86.0,,VgJcxZFvkDMCtfP
86,show,show,cFx0crqu,14,WSN,W,S,74,1,False,,74.0,VgJcxZFvkDMCtfP
87,show,show,cFx0crqu,15,WSN,S,S,90,1,True,90.0,,VgJcxZFvkDMCtfP
88,show,show,cFx0crqu,2,SNW,W,W,81,1,True,81.0,,VgJcxZFvkDMCtfP
89,show,show,cFx0crqu,3,NWS,S,W,69,1,False,,69.0,VgJcxZFvkDMCtfP
90,show,show,cFx0crqu,4,SNS,W,W,72,1,True,72.0,,VgJcxZFvkDMCtfP
91,show,show,cFx0crqu,5,SNS,S,S,81,1,True,81.0,,VgJcxZFvkDMCtfP
92,show,show,cFx0crqu,6,NSW,W,W,80,1,True,80.0,,VgJcxZFvkDMCtfP
93,show,show,cFx0crqu,7,SWN,W,S,64,1,False,,64.0,VgJcxZFvkDMCtfP
94,show,show,cFx0crqu,8,WNW,S,S,97,1,True,97.0,,VgJcxZFvkDMCtfP
95,show,show,cFx0crqu,9,SNW,S,S,77,1,True,77.0,,VgJcxZFvkDMCtfP
96,do,show,cFx0crqu,0,NWS,W,W,100,1,True,100.0,,DGQwhOgMdQEavVM
97,do,show,cFx0crqu,1,SWN,S,S,100,1,True,100.0,,DGQwhOgMdQEavVM
98,do,show,cFx0crqu,10,WNS,W,W,100,1,True,100.0,,DGQwhOgMdQEavVM
