participant,mdp_code,cond,belief-reward,unknown_color_ent_exp,avg_revisit_exp,uncertain_prop_exp,dem_len_exp,uncertain_prop_sim,unknown_color_ent_sim,dem_len_sim,avg_revisit_sim
S1,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S10,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S11,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S14,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S15,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S22,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S27,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S29,ooo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S3,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S30,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S32,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S33,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S34,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S36,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S37,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S38,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S40,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S41,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S42,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S44,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S47,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S48,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S5,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S52,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S54,ooo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S56,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S57,ooo,do,0,1.5,0.0,0.8,5.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S8,ooo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S9,ooo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.5792467532467477,1.4927494399410877,7.372,0.019480158730158723
S1,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S10,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S11,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S14,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S15,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S22,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S27,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S29,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S3,oox,do,0,-0.0,0.0,0.4444444444444444,9.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S30,oox,do,0,0.6500224216483541,0.2857142857142857,0.6666666666666666,9.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S32,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S33,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S34,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S36,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S37,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S38,oox,do,0,1.5,0.0,0.8,5.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S40,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S41,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S42,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S44,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S47,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S48,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S5,oox,do,0,0.7219280948873623,0.0,0.7142857142857143,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S52,oox,do,0,-0.0,0.0,0.6666666666666666,9.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S54,oox,do,0,-0.0,0.0,0.4444444444444444,9.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S56,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S57,oox,do,0,0.8112781244591328,0.0,0.5714285714285714,7.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S8,oox,do,0,-0.0,0.0,0.4444444444444444,9.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S9,oox,do,0,-0.0,0.0,0.4444444444444444,9.0,0.511499611499611,0.8437157024611419,9.38,0.02246666666666667
S1,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S10,oxo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S11,oxo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S14,oxo,do,0,0.9182958340544896,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S15,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S22,oxo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S27,oxo,do,0,0.9182958340544896,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S29,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S3,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S30,oxo,do,0,0.9182958340544896,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S32,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S33,oxo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S34,oxo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S36,oxo,do,0,0.9182958340544896,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S37,oxo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S38,oxo,do,0,1.5,0.0,0.8,5.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S40,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S41,oxo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S42,oxo,do,0,0.9182958340544896,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S44,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S47,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S48,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S5,oxo,do,0,0.8112781244591328,0.0,0.8888888888888888,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S52,oxo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S54,oxo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S56,oxo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S57,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S8,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S9,oxo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.4994588313647153,0.3067894420380819,11.422,0.031613053613053645
S1,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S10,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
