participant,cond,rf,color_tile,index,model_uncertain_prop
S38,do,oxx,False,6,0.49296984419089923
S38,do,oxx,True,6,0.49296984419089923
S38,do,oxx,True,6,0.49296984419089923
S38,do,oxx,True,6,0.49296984419089923
S38,do,oxx,True,6,0.49296984419089923
S5,do,oxx,False,6,0.49296984419089923
S5,do,oxx,True,6,0.49296984419089923
S52,do,oxx,False,6,0.49296984419089923
S5,do,oxx,True,6,0.49296984419089923
S52,do,oxx,False,6,0.49296984419089923
S5,do,oxx,True,6,0.49296984419089923
S52,do,oxx,False,6,0.49296984419089923
S5,do,oxx,True,6,0.49296984419089923
S52,do,oxx,True,6,0.49296984419089923
S5,do,oxx,True,6,0.49296984419089923
S52,do,oxx,True,6,0.49296984419089923
S5,do,oxx,True,6,0.49296984419089923
S52,do,oxx,True,6,0.49296984419089923
S5,do,oxx,False,6,0.49296984419089923
S52,do,oxx,True,6,0.49296984419089923
S5,do,oxx,False,6,0.49296984419089923
S52,do,oxx,False,6,0.49296984419089923
S52,do,oxx,False,6,0.49296984419089923
S27,do,oxx,False,6,0.49296984419089923
S27,do,oxx,True,6,0.49296984419089923
S27,do,oxx,True,6,0.49296984419089923
S27,do,oxx,True,6,0.49296984419089923
S27,do,oxx,True,6,0.49296984419089923
S27,do,oxx,True,6,0.49296984419089923
S27,do,oxx,True,6,0.49296984419089923
S27,do,oxx,False,6,0.49296984419089923
S9,do,oxx,False,6,0.49296984419089923
S27,do,oxx,False,6,0.49296984419089923
S9,do,oxx,False,6,0.49296984419089923
S9,do,oxx,False,6,0.49296984419089923
S9,do,oxx,True,6,0.49296984419089923
S9,do,oxx,True,6,0.49296984419089923
S9,do,oxx,True,6,0.49296984419089923
S9,do,oxx,True,6,0.49296984419089923
S9,do,oxx,False,6,0.49296984419089923
S9,do,oxx,False,6,0.49296984419089923
S41,do,oxx,False,6,0.49296984419089923
S41,do,oxx,False,6,0.49296984419089923
S41,do,oxx,False,6,0.49296984419089923
S41,do,oxx,True,6,0.49296984419089923
S41,do,oxx,True,6,0.49296984419089923
S41,do,oxx,True,6,0.49296984419089923
S41,do,oxx,True,6,0.49296984419089923
S41,do,oxx,False,6,0.49296984419089923
S41,do,oxx,False,6,0.49296984419089923
S29,do,oxx,False,6,0.49296984419089923
S29,do,oxx,False,6,0.49296984419089923
S29,do,oxx,False,6,0.49296984419089923
S29,do,oxx,True,6,0.49296984419089923
S29,do,oxx,True,6,0.49296984419089923
S29,do,oxx,True,6,0.49296984419089923
S29,do,oxx,True,6,0.49296984419089923
S29,do,oxx,False,6,0.49296984419089923
S29,do,oxx,False,6,0.49296984419089923
S48,do,oxx,False,6,0.49296984419089923
S48,do,oxx,False,6,0.49296984419089923
S48,do,oxx,False,6,0.49296984419089923
S48,do,oxx,True,6,0.49296984419089923
S48,do,oxx,True,6,0.49296984419089923
S48,do,oxx,True,6,0.49296984419089923
S48,do,oxx,True,6,0.49296984419089923
S48,do,oxx,False,6,0.49296984419089923
S48,do,oxx,False,6,0.49296984419089923
S14,do,oxx,False,6,0.49296984419089923
S14,do,oxx,True,6,0.49296984419089923
S14,do,oxx,True,6,0.49296984419089923
S14,do,oxx,True,6,0.49296984419089923
S14,do,oxx,True,6,0.49296984419089923
S14,do,oxx,True,6,0.49296984419089923
S14,do,oxx,True,6,0.49296984419089923
S14,do,oxx,False,6,0.49296984419089923
S14,do,oxx,False,6,0.49296984419089923
S34,do,oxx,False,6,0.49296984419089923
S34,do,oxx,True,6,0.49296984419089923
S34,do,oxx,True,6,0.49296984419089923
S34,do,oxx,True,6,0.49296984419089923
S34,do,oxx,True,6,0.49296984419089923
S34,do,oxx,True,6,0.49296984419089923
S34,do,oxx,True,6,0.49296984419089923
S34,do,oxx,False,6,0.49296984419089923
S34,do,oxx,False,6,0.49296984419089923
S10,do,oxx,False,6,0.49296984419089923
S10,do,oxx,True,6,0.49296984419089923
S10,do,oxx,True,6,0.49296984419089923
S10,do,oxx,True,6,0.49296984419089923
S10,do,oxx,True,6,0.49296984419089923
S10,do,oxx,True,6,0.49296984419089923
S10,do,oxx,True,6,0.49296984419089923
S10,do,oxx,False,6,0.49296984419089923
S10,do,oxx,False,6,0.49296984419089923
S36,do,oxx,False,6,0.49296984419089923
S36,do,oxx,True,6,0.49296984419089923
S36,do,oxx,True,6,0.49296984419089923
S36,do,oxx,True,6,0.49296984419089923
S36,do,oxx,True,6,0.49296984419089923
S36,do,oxx,True,6,0.49296984419089923
S36,do,oxx,True,6,0.49296984419089923
S36,do,oxx,False,6,0.49296984419089923
S36,do,oxx,False,6,0.49296984419089923
S47,do,oxx,False,6,0.49296984419089923
S47,do,oxx,False,6,0.49296984419089923
S47,do,oxx,False,6,0.49296984419089923
S47,do,oxx,True,6,0.49296984419089923
S47,do,oxx,True,6,0.49296984419089923
S47,do,oxx,True,6,0.49296984419089923
S47,do,oxx,True,6,0.49296984419089923
S47,do,oxx,False,6,0.49296984419089923
S47,do,oxx,False,6,0.49296984419089923
S30,do,oxx,False,6,0.49296984419089923
S30,do,oxx,True,6,0.49296984419089923
S30,do,oxx,True,6,0.49296984419089923
S30,do,oxx,True,6,0.49296984419089923
S30,do,oxx,True,6,0.49296984419089923
S30,do,oxx,True,6,0.49296984419089923
S30,do,oxx,True,6,0.49296984419089923
S30,do,oxx,False,6,0.49296984419089923
S30,do,oxx,False,6,0.49296984419089923
S37,do,oxx,False,6,0.49296984419089923
S37,do,oxx,True,6,0.49296984419089923
S37,do,oxx,True,6,0.49296984419089923
S37,do,oxx,True,6,0.49296984419089923
S37,do,oxx,True,6,0.49296984419089923
S37,do,oxx,True,6,0.49296984419089923
S37,do,oxx,True,6,0.49296984419089923
S15,do,oxx,False,6,0.49296984419089923
S37,do,oxx,False,6,0.49296984419089923
S15,do,oxx,False,6,0.49296984419089923
S37,do,oxx,False,6,0.49296984419089923
S15,do,oxx,False,6,0.49296984419089923
S15,do,oxx,True,6,0.49296984419089923
S15,do,oxx,True,6,0.49296984419089923
S15,do,oxx,True,6,0.49296984419089923
S15,do,oxx,True,6,0.49296984419089923
S15,do,oxx,False,6,0.49296984419089923
S15,do,oxx,False,6,0.49296984419089923
S11,do,oxx,False,6,0.49296984419089923
S11,do,oxx,True,6,0.49296984419089923
S11,do,oxx,True,6,0.49296984419089923
S11,do,oxx,True,6,0.49296984419089923
S11,do,oxx,True,6,0.49296984419089923
S11,do,oxx,True,6,0.49296984419089923
S11,do,oxx,True,6,0.49296984419089923
S11,do,oxx,False,6,0.49296984419089923
S11,do,oxx,False,6,0.49296984419089923
S40,do,oxx,False,6,0.49296984419089923
S40,do,oxx,False,6,0.49296984419089923
S40,do,oxx,False,6,0.49296984419089923
S40,do,oxx,True,6,0.49296984419089923
S40,do,oxx,True,6,0.49296984419089923
S40,do,oxx,True,6,0.49296984419089923
S40,do,oxx,True,6,0.49296984419089923
S40,do,oxx,False,6,0.49296984419089923
S40,do,oxx,False,6,0.49296984419089923
S56,do,oxx,False,6,0.49296984419089923
S56,do,oxx,False,6,0.49296984419089923
S56,do,oxx,False,6,0.49296984419089923
S56,do,oxx,True,6,0.49296984419089923
S56,do,oxx,True,6,0.49296984419089923
S56,do,oxx,True,6,0.49296984419089923
S56,do,oxx,True,6,0.49296984419089923
S56,do,oxx,False,6,0.49296984419089923
S56,do,oxx,False,6,0.49296984419089923
S22,do,oxx,False,6,0.49296984419089923
S22,do,oxx,True,6,0.49296984419089923
S22,do,oxx,True,6,0.49296984419089923
S22,do,oxx,True,6,0.49296984419089923
S22,do,oxx,True,6,0.49296984419089923
S22,do,oxx,True,6,0.49296984419089923
S22,do,oxx,True,6,0.49296984419089923
S22,do,oxx,False,6,0.49296984419089923
S22,do,oxx,False,6,0.49296984419089923
S1,do,oxx,False,6,0.49296984419089923
S1,do,oxx,False,6,0.49296984419089923
S1,do,oxx,False,6,0.49296984419089923
S1,do,oxx,True,6,0.49296984419089923
S1,do,oxx,True,6,0.49296984419089923
S1,do,oxx,True,6,0.49296984419089923
S1,do,oxx,True,6,0.49296984419089923
S1,do,oxx,False,6,0.49296984419089923
S1,do,oxx,False,6,0.49296984419089923
S33,do,oxx,False,6,0.49296984419089923
S33,do,oxx,True,6,0.49296984419089923
S33,do,oxx,True,6,0.49296984419089923
S33,do,oxx,True,6,0.49296984419089923
S33,do,oxx,True,6,0.49296984419089923
S33,do,oxx,True,6,0.49296984419089923
S33,do,oxx,True,6,0.49296984419089923
S33,do,oxx,False,6,0.49296984419089923
S33,do,oxx,False,6,0.49296984419089923
S57,do,oxx,False,6,0.49296984419089923
S57,do,oxx,False,6,0.49296984419089923
S57,do,oxx,False,6,0.49296984419089923
S57,do,oxx,True,6,0.49296984419089923
S57,do,oxx,True,6,0.49296984419089923
S57,do,oxx,True,6,0.49296984419089923
S57,do,oxx,True,6,0.49296984419089923
S57,do,oxx,False,6,0.49296984419089923
S57,do,oxx,False,6,0.49296984419089923
S32,do,oxx,False,6,0.49296984419089923
S32,do,oxx,False,6,0.49296984419089923
S32,do,oxx,False,6,0.49296984419089923
S32,do,oxx,True,6,0.49296984419089923
S32,do,oxx,True,6,0.49296984419089923
S32,do,oxx,True,6,0.49296984419089923
S32,do,oxx,True,6,0.49296984419089923
S32,do,oxx,False,6,0.49296984419089923
S32,do,oxx,False,6,0.49296984419089923
S44,do,oxx,False,6,0.49296984419089923
S44,do,oxx,False,6,0.49296984419089923
S44,do,oxx,False,6,0.49296984419089923
S44,do,oxx,True,6,0.49296984419089923
S44,do,oxx,True,6,0.49296984419089923
S44,do,oxx,True,6,0.49296984419089923
S44,do,oxx,True,6,0.49296984419089923
S44,do,oxx,False,6,0.49296984419089923
S44,do,oxx,False,6,0.49296984419089923
S54,do,oxx,False,6,0.49296984419089923
S54,do,oxx,False,6,0.49296984419089923
S54,do,oxx,False,6,0.49296984419089923
S54,do,oxx,True,6,0.49296984419089923
S54,do,oxx,True,6,0.49296984419089923
S54,do,oxx,True,6,0.49296984419089923
S54,do,oxx,True,6,0.49296984419089923
S54,do,oxx,False,6,0.49296984419089923
S54,do,oxx,False,6,0.49296984419089923
S3,do,oxx,False,6,0.49296984419089923
S3,do,oxx,False,6,0.49296984419089923
S3,do,oxx,False,6,0.49296984419089923
S3,do,oxx,True,6,0.49296984419089923
S3,do,oxx,True,6,0.49296984419089923
S3,do,oxx,True,6,0.49296984419089923
S3,do,oxx,True,6,0.49296984419089923
S3,do,oxx,False,6,0.49296984419089923
S3,do,oxx,False,6,0.49296984419089923
S8,do,oxx,False,6,0.49296984419089923
S8,do,oxx,False,6,0.49296984419089923
S8,do,oxx,False,6,0.49296984419089923
S8,do,oxx,True,6,0.49296984419089923
S8,do,oxx,True,6,0.49296984419089923
S8,do,oxx,True,6,0.49296984419089923
S8,do,oxx,True,6,0.49296984419089923
S8,do,oxx,False,6,0.49296984419089923
S8,do,oxx,False,6,0.49296984419089923
S42,do,oxx,False,6,0.49296984419089923
S42,do,oxx,True,6,0.49296984419089923
S42,do,oxx,True,6,0.49296984419089923
S42,do,oxx,True,6,0.49296984419089923
S42,do,oxx,True,6,0.49296984419089923
S42,do,oxx,True,6,0.49296984419089923
S42,do,oxx,True,6,0.49296984419089923
S42,do,oxx,True,6,0.49296984419089923
S42,do,oxx,False,6,0.49296984419089923
S38,do,xoo,False,8,0.5132132181543981
S38,do,xoo,True,8,0.5132132181543981
S38,do,xoo,True,8,0.5132132181543981
S38,do,xoo,True,8,0.5132132181543981
S38,do,xoo,True,8,0.5132132181543981
S38,do,xoo,True,8,0.5132132181543981
S38,do,xoo,True,8,0.5132132181543981
S38,do,xoo,False,8,0.5132132181543981
S38,do,xoo,False,8,0.5132132181543981
S5,do,xoo,False,8,0.5132132181543981
S5,do,xoo,False,8,0.5132132181543981
S5,do,xoo,False,8,0.5132132181543981
S5,do,xoo,True,8,0.5132132181543981
S52,do,xoo,False,8,0.5132132181543981
S5,do,xoo,True,8,0.5132132181543981
S52,do,xoo,False,8,0.5132132181543981
S5,do,xoo,True,8,0.5132132181543981
S52,do,xoo,False,8,0.5132132181543981
S5,do,xoo,True,8,0.5132132181543981
S52,do,xoo,True,8,0.5132132181543981
S5,do,xoo,True,8,0.5132132181543981
S52,do,xoo,True,8,0.5132132181543981
S52,do,xoo,True,8,0.5132132181543981
S5,do,xoo,True,8,0.5132132181543981
S52,do,xoo,True,8,0.5132132181543981
S52,do,xoo,False,8,0.5132132181543981
S52,do,xoo,False,8,0.5132132181543981
S9,do,xoo,False,8,0.5132132181543981
S9,do,xoo,False,8,0.5132132181543981
S9,do,xoo,False,8,0.5132132181543981
S9,do,xoo,True,8,0.5132132181543981
S9,do,xoo,True,8,0.5132132181543981
S9,do,xoo,True,8,0.5132132181543981
S9,do,xoo,True,8,0.5132132181543981
S9,do,xoo,False,8,0.5132132181543981
S9,do,xoo,False,8,0.5132132181543981
S27,do,xoo,False,8,0.5132132181543981
S27,do,xoo,False,8,0.5132132181543981
S27,do,xoo,False,8,0.5132132181543981
S27,do,xoo,True,8,0.5132132181543981
S27,do,xoo,True,8,0.5132132181543981
S27,do,xoo,True,8,0.5132132181543981
S27,do,xoo,True,8,0.5132132181543981
S27,do,xoo,True,8,0.5132132181543981
S27,do,xoo,True,8,0.5132132181543981
S27,do,xoo,True,8,0.5132132181543981
S27,do,xoo,False,8,0.5132132181543981
S29,do,xoo,False,8,0.5132132181543981
S29,do,xoo,False,8,0.5132132181543981
S29,do,xoo,False,8,0.5132132181543981
S29,do,xoo,True,8,0.5132132181543981
S29,do,xoo,True,8,0.5132132181543981
